Player,Rk,Season,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,salary
John Jenkins,225.0,15-16,SG,23.0,TOT,26.666666666666668,2.0,11.933333333333332,1.6333333333333335,3.6666666666666665,0.44,0.5333333333333333,1.6000000000000003,0.3133333333333333,1.1333333333333333,2.1,0.5336666666666666,0.508,0.5,0.5666666666666667,0.8916666666666666,0.16666666666666666,1.3666666666666665,1.5333333333333334,0.7000000000000001,0.23333333333333336,0.03333333333333333,0.5666666666666667,0.6333333333333334,4.266666666666667,1050961.0
John Wall,446.0,15-16,PG,24.0,WAS,79.33333333333333,79.33333333333333,36.13333333333333,7.033333333333334,16.2,0.434,1.2,3.6,0.334,5.766666666666667,12.6,0.4613333333333333,0.4709999999999999,3.6666666666666665,4.633333333333333,0.7936666666666667,0.5,4.066666666666667,4.533333333333333,9.666666666666666,1.7999999999999998,0.6333333333333333,3.8333333333333335,2.3666666666666667,18.933333333333334,19169800.0
Jon Leuer,265.0,15-16,PF,25.0,PHO,59.666666666666664,11.0,14.966666666666667,2.5666666666666664,5.433333333333334,0.472,0.39999999999999997,1.0333333333333334,0.36400000000000005,2.1666666666666665,4.3999999999999995,0.4916666666666667,0.507,0.8333333333333334,1.1333333333333333,0.7253333333333334,0.9,3.1333333333333333,4.033333333333332,0.7333333333333334,0.4333333333333333,0.26666666666666666,0.7666666666666667,1.5333333333333332,6.3999999999999995,10002681.0
Jordan Farmar,137.0,15-16,PG,28.0,MEM,29.666666666666668,5.0,20.400000000000002,2.966666666666667,7.2,0.40700000000000003,1.3333333333333333,3.466666666666667,0.385,1.6333333333333335,3.766666666666667,0.432,0.5026666666666667,0.7333333333333334,0.8333333333333334,0.8850000000000001,0.3333333333333333,1.5666666666666667,1.9333333333333333,3.3000000000000003,0.9333333333333332,0.16666666666666666,1.5666666666666664,1.6000000000000003,7.966666666666666,980431.0
Jrue Holiday,201.0,15-16,PG,24.0,NOP,46.333333333333336,31.333333333333332,31.46666666666667,6.1000000000000005,13.733333333333334,0.444,1.1666666666666667,3.233333333333333,0.36800000000000005,4.933333333333333,10.5,0.4686666666666666,0.486,1.9666666666666668,2.3666666666666667,0.836,0.6666666666666666,2.8666666666666667,3.5333333333333337,6.933333333333334,1.5333333333333332,0.4333333333333333,2.6666666666666665,2.6,15.300000000000002,25686667.0
Kawhi Leonard,263.0,15-16,SF,23.0,SAS,67.33333333333333,67.0,31.333333333333332,6.333333333333333,12.566666666666668,0.5023333333333334,1.2666666666666666,3.266666666666667,0.39033333333333337,5.033333333333333,9.299999999999999,0.542,0.5536666666666666,2.9333333333333336,3.466666666666667,0.8260000000000001,1.2666666666666666,5.5,6.733333333333333,2.3666666666666667,1.9333333333333333,0.8666666666666667,1.4000000000000001,1.8999999999999997,16.833333333333332,18868626.0
Kelly Olynyk,339.0,15-16,C,23.0,BOS,67.66666666666667,10.0,20.8,3.633333333333333,7.866666666666666,0.4653333333333333,0.9333333333333335,2.4333333333333336,0.36833333333333335,2.733333333333333,5.333333333333333,0.508,0.5233333333333333,1.4333333333333333,1.9000000000000001,0.7483333333333334,1.4666666666666668,3.1666666666666665,4.666666666666667,1.6000000000000003,0.7666666666666666,0.5,1.3666666666666665,2.9666666666666663,9.666666666666666,12537527.0
Kemba Walker,445.0,15-16,PG,24.0,CHO,72.0,70.66666666666667,35.2,6.433333333333334,15.966666666666669,0.40166666666666667,1.7,5.0,0.336,4.733333333333333,10.966666666666669,0.43133333333333335,0.455,4.1,4.866666666666666,0.8370000000000001,0.6,3.466666666666667,4.033333333333334,5.466666666666666,1.4000000000000001,0.4666666666666666,2.0,1.5666666666666667,18.633333333333336,12000000.0
Kendall Marshall,279.0,15-16,PG,23.0,PHI,37.333333333333336,18.0,19.066666666666666,2.033333333333333,5.1000000000000005,0.4083333333333334,0.8000000000000002,2.1666666666666665,0.37233333333333335,1.2333333333333334,2.9333333333333336,0.437,0.48900000000000005,0.3333333333333333,0.4666666666666666,0.703,0.16666666666666666,1.4666666666666668,1.5999999999999999,4.766666666666667,0.7333333333333334,0.06666666666666667,1.8333333333333333,1.0999999999999999,5.3,2048257.0
Kenneth Faried,136.0,15-16,PF,25.0,DEN,74.0,70.66666666666667,26.766666666666666,5.266666666666667,9.8,0.5366666666666666,0.0,0.03333333333333333,0.20833333333333334,5.266666666666667,9.733333333333333,0.5386666666666667,0.5366666666666666,2.4,3.6666666666666665,0.6513333333333332,3.233333333333333,5.5,8.733333333333334,1.2,0.7333333333333334,0.8666666666666667,1.5666666666666667,2.5666666666666664,12.933333333333332,12921348.0
