team,salary,player,position,season
New York Knicks,792377.0,Solomon Jones, PF,2012-2013
Milan Olimpia,788872.0,Gani Lawal, PF,2012-2013
Miami Heat,788872.0,Jarvis Varnado, PF,2012-2013
null Unknown,788872.0,Da'Sean Butler, NA,2012-2013
San Antonio Spurs,788872.0,Marcus Cousin, C,2012-2013
Toronto Raptors,788872.0,Andy Rautins, SG,2012-2013
Charlotte Bobcats,788872.0,Jeffery Taylor, SF,2012-2013
Philadelphia 76ers,788872.0,Maalik Wayns, PG,2012-2013
Atlanta Hawks,788872.0,Pape Sy, SF,2012-2013
null Unknown,788872.0,Magnum Rolle, NA,2012-2013
Cleveland Cavaliers,780871.0,Jermaine Taylor, SG,2012-2013
Minnesota Timberwolves,773976.0,Josh Howard, SF,2012-2013
