Player,Rk,Season,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,2019-20
Kelly Olynyk,384.0,19-20,C,26.0,MIA,73.2,16.2,21.279999999999998,3.4799999999999995,7.26,0.47780000000000006,1.26,3.3599999999999994,0.3796,2.2,3.88,0.5661999999999999,0.5670000000000001,1.52,1.92,0.7868,0.96,3.8,4.779999999999999,1.94,0.7200000000000001,0.44000000000000006,1.36,2.6000000000000005,9.74,11667885
Kemba Walker,494.0,19-20,PG,27.0,BOS,75.6,75.6,34.1,7.640000000000001,17.619999999999997,0.43220000000000003,2.9,7.68,0.3782,4.72,9.92,0.4748,0.515,4.24,5.0,0.8532,0.5800000000000001,3.34,3.9400000000000004,5.3999999999999995,1.1800000000000002,0.4,2.2199999999999998,1.4600000000000002,22.439999999999998,32742000
Kent Bazemore,33.0,19-20,SF-SG,28.0,TOT,69.6,50.6,26.3,3.94,9.64,0.40940000000000004,1.42,4.0,0.35219999999999996,2.54,5.62,0.4502,0.483,1.8599999999999999,2.44,0.7627999999999999,0.48,3.56,4.06,2.38,1.28,0.6199999999999999,1.8,2.46,11.18,19269662
Kentavious Caldwell-Pope,85.0,19-20,SG,24.0,LAL,75.4,54.8,30.7,4.4399999999999995,10.42,0.4284,1.7399999999999998,5.0200000000000005,0.35479999999999995,2.66,5.46,0.4974,0.5148,1.86,2.2800000000000002,0.8148,0.72,2.7,3.44,1.8800000000000001,1.14,0.2,1.1,1.8799999999999997,12.48,8089282
Kevin Love,302.0,19-20,PF,29.0,CLE,54.8,54.6,29.98,5.6,13.1,0.42779999999999996,2.36,6.299999999999999,0.3766,3.22,6.8,0.47620000000000007,0.518,3.94,4.5200000000000005,0.8661999999999999,1.72,8.46,10.2,2.2800000000000002,0.6599999999999999,0.36,1.9400000000000002,2.0599999999999996,17.44,28900000
Kevon Looney,299.0,19-20,C,21.0,GSW,44.8,7.2,11.600000000000001,1.56,2.9200000000000004,0.5332000000000001,0.06000000000000001,0.3,0.2186,1.48,2.62,0.5626,0.5517999999999998,0.45999999999999996,0.74,0.633,1.3399999999999999,1.8799999999999997,3.22,0.72,0.4,0.42000000000000004,0.44000000000000006,1.5000000000000002,3.6,4464286
Khris Middleton,336.0,19-20,SF,26.0,MIL,65.8,64.0,32.839999999999996,6.6,14.34,0.4596,1.98,5.0200000000000005,0.3962,4.62,9.34,0.49460000000000004,0.5286000000000001,3.28,3.7199999999999998,0.881,0.5599999999999999,4.54,5.08,4.04,1.3,0.18,2.2600000000000002,2.62,18.44,30603448
Kyle Anderson,11.0,19-20,PF,24.0,MEM,66.8,32.0,21.32,2.4000000000000004,4.78,0.49139999999999995,0.26,0.8,0.31579999999999997,2.1799999999999997,4.0,0.526,0.5178,0.9,1.3199999999999998,0.6986000000000001,0.78,3.5,4.3,2.2,1.04,0.6199999999999999,0.9799999999999999,1.58,5.92,9073050
Kyle Korver,280.0,19-20,SF,36.0,MIL,69.6,21.4,22.7,3.02,6.8,0.4408,2.06,4.94,0.42000000000000004,0.9400000000000001,1.8800000000000001,0.49640000000000006,0.594,0.72,0.8,0.8606000000000001,0.16,2.38,2.56,1.4599999999999997,0.5,0.3,0.9200000000000002,1.64,8.76,3440000
Kyle Lowry,303.0,19-20,PG,31.0,TOR,67.6,67.6,35.36,5.88,13.64,0.429,2.8600000000000003,7.5,0.37960000000000005,3.02,6.14,0.4941999999999999,0.5347999999999999,4.14,4.9399999999999995,0.8341999999999998,0.7,4.279999999999999,4.9799999999999995,7.3,1.5,0.36000000000000004,2.8,2.78,18.68,33296296
