team,salary,player,position,season
Dallas Mavericks,909859.0,J.J. Barea, PG,2014-2015
Orlando Magic,884879.0,Devyn Marble, SF,2014-2015
Philadelphia 76ers,884879.0,Jerami Grant, SF,2014-2015
Cleveland Cavaliers,884879.0,Joe Harris, SF,2014-2015
Minnesota Timberwolves,880000.0,Robbie Hummel, SF,2014-2015
Portland Trail Blazers,862000.0,Allen Crabbe, SG,2014-2015
Oklahoma City Thunder,861405.0,Ish Smith, PG,2014-2015
New York Knicks,820000.0,Damien Inglis, SF,2014-2015
Philadelphia 76ers,816842.0,Isaiah Canaan, PG,2014-2015
Washington Wizards,816482.0,Glen Rice Jr., SG,2014-2015
Melbourne United,816482.0,Casper Ware, G,2014-2015
Washington Wizards,816482.0,Carrick Felix, SG,2014-2015
Sacramento Kings,816482.0,Ray McCallum, PG,2014-2015
Utah Jazz,816482.0,Grant Jerrett, PF,2014-2015
Memphis Grizzlies,816482.0,Nick Calathes, SG,2014-2015
Minnesota Timberwolves,816482.0,Justin Hamilton, C,2014-2015
Philadelphia 76ers,816482.0,Dionte Christmas, SG,2014-2015
Golden State Warriors,816482.0,Justin Holiday, SF,2014-2015
Boston Celtics,816482.0,Erik Jay Murphy, PF,2014-2015
Orlando Magic,816482.0,Dewayne Dedmon, C,2014-2015
Miami Heat,769881.0,Hassan Whiteside, C,2014-2015
Minnesota Timberwolves,742962.0,Jeff Adrien, SF,2014-2015
Memphis Grizzlies,725000.0,Jarnell Stokes, F,2014-2015
New Orleans Pelicans,716043.0,Dante Cunningham, SF,2014-2015
Philadelphia 76ers,710659.0,Malcolm Lee, SG,2014-2015
Brooklyn Nets,702756.0,Darius Morris, G,2014-2015
Detroit Pistons,700000.0,Spencer Dinwiddie, PG,2014-2015
Philadelphia 76ers,635827.0,Malcolm Thomas, PF,2014-2015
New Orleans Pelicans,633974.0,Gal Mekel, PG,2014-2015
Milwaukee Bucks,600000.0,Johnny O'Bryant III, PF,2014-2015
Brooklyn Nets,507336.0,Cory Jefferson, F,2014-2015
Orlando Magic,507336.0,Keith Appling, PG,2014-2015
Utah Jazz,507336.0,Eric Griffin, C,2014-2015
Utah Jazz,507336.0,Joe Ingles, SF,2014-2015
Memphis Grizzlies,507336.0,Russ Smith, PG,2014-2015
Sacramento Kings,507336.0,Eric Moreland, C,2014-2015
Sacramento Kings,507336.0,Sim Bhullar, C,2014-2015
Philadelphia 76ers,507336.0,JaKarr Sampson, F,2014-2015
New York Knicks,507336.0,Travis Wear, F,2014-2015
New Orleans Pelicans,507336.0,Patric Young, PF,2014-2015
Cleveland Cavaliers,495399.0,Will Cherry, F,2014-2015
Memphis Grizzlies,486446.0,Kalin Lucas, G,2014-2015
Philadelphia 76ers,468540.0,Drew Gordon, C,2014-2015
Milwaukee Bucks,414551.0,Kenyon Martin, PF,2014-2015
New York Knicks,409167.0,Lou Amundson, PF,2014-2015
Oklahoma City Thunder,403784.0,Lance Thomas, SF,2014-2015
LA Clippers,387632.0,Dahntay Jones, SG,2014-2015
Utah Jazz,379010.0,Patrick Christopher, SG,2014-2015
Toronto Raptors,373041.0,Ronald Roberts Jr., PF,2014-2015
San Antonio Spurs,344036.0,Reggie Williams, SF,2014-2015
New York Knicks,306876.0,Amar'e Stoudemire, C,2014-2015
Minnesota Timberwolves,283367.0,Lorenzo Brown, PG,2014-2015
Oklahoma City Thunder,274573.0,Kendrick Perkins, C,2014-2015
Detroit Pistons,269189.0,John Lucas III, PG,2014-2015
Utah Jazz,241731.0,Elijah Millsap, SG,2014-2015
Dallas Mavericks,236886.0,Bernard James, C,2014-2015
New York Knicks,235762.0,Langston Galloway, SG,2014-2015
Miami Heat,199950.0,Tyler Johnson, SG,2014-2015
