team,salary,player,position,season
Miami Heat,1129200.0,Norris Cole, PG,2013-2014
Phoenix Suns,1121520.0,Miles Plumlee, C,2013-2014
San Antonio Spurs,1120920.0,Cory Joseph, PG,2013-2014
Chicago Bulls,1112880.0,Jimmy Butler, SG,2013-2014
Los Angeles Lakers,1106942.0,Nick Young, G,2013-2014
Philadelphia 76ers,1089240.0,Arnett Moultrie, PF,2013-2014
Oklahoma City Thunder,1082520.0,Perry Jones, SF,2013-2014
Utah Jazz,1078800.0,Rudy Gobert, C,2013-2014
Brooklyn Nets,1074720.0,Marquis Teague, G,2013-2014
Portland Trail Blazers,1066920.0,Festus Ezeli, C,2013-2014
Phoenix Suns,1064400.0,Archie Goodwin, SG,2013-2014
Golden State Warriors,1056720.0,Nemanja Nedovic, PG,2013-2014
Detroit Pistons,1045000.0,Kyle Singler, F,2013-2014
New Orleans Pelicans,1027424.0,Anthony Morrow, SG,2013-2014
Indiana Pacers,1005000.0,Lance Stephenson, SG,2013-2014
Indiana Pacers,1000000.0,Andrew Bynum, C,2013-2014
Phoenix Suns,951463.0,Ish Smith, PG,2013-2014
Philadelphia 76ers,947907.0,Byron Mullens, C,2013-2014
Brooklyn Nets,947907.0,Alan Anderson, SG,2013-2014
Houston Rockets,947907.0,Omri Casspi, SF,2013-2014
Toronto Raptors,947907.0,Austin Daye, SF,2013-2014
Houston Rockets,926500.0,Chandler Parsons, SF,2013-2014
Charlotte Bobcats,916099.0,Jeff Adrien, SF,2013-2014
Memphis Grizzlies,900000.0,Jon Leuer, PF,2013-2014
Washington Wizards,884293.0,Garrett Temple, SG,2013-2014
Atlanta Hawks,884293.0,Shelvin Mack, PG,2013-2014
LA Clippers,884293.0,Ryan Hollins, C,2013-2014
Charlotte Bobcats,884293.0,Jannero Pargo, PG,2013-2014
Los Angeles Lakers,884293.0,Jordan Farmar, PG,2013-2014
Orlando Magic,884293.0,E'Twaun Moore, G,2013-2014
New York Knicks,884293.0,Cole Aldrich, C,2013-2014
Golden State Warriors,875500.0,Draymond Green, PF,2013-2014
Portland Trail Blazers,825000.0,Allen Crabbe, SG,2013-2014
Philadelphia 76ers,797545.0,Elliot Williams, SG,2013-2014
Milwaukee Bucks,788872.0,Khris Middleton, SF,2013-2014
New Orleans Pelicans,788872.0,Brian Roberts, PG,2013-2014
Charlotte Bobcats,788872.0,Jeffery Taylor, SF,2013-2014
Denver Nuggets,788872.0,Quincy Miller, SF,2013-2014
Dallas Mavericks,788872.0,Jae Crowder, PF,2013-2014
Philadelphia 76ers,788872.0,Henry Sims, C,2013-2014
Los Angeles Lakers,788872.0,Kent Bazemore, SG,2013-2014
Oklahoma City Thunder,740560.0,Andre Roberson, SG,2013-2014
Utah Jazz,719266.0,Diante Garrett, PG,2013-2014
Utah Jazz,702233.0,Malcolm Thomas, PF,2013-2014
Toronto Raptors,700000.0,Dwight Buycks, G,2013-2014
Golden State Warriors,660619.0,Hilton Armstrong, PF,2013-2014
Charlotte Bobcats,660619.0,Chris Douglas-Roberts, SG,2013-2014
Toronto Raptors,650215.0,D.J. Augustin, PG,2013-2014
New Orleans Pelicans,635880.0,Alexis Ajinca, C,2013-2014
Memphis Grizzlies,634610.0,James Johnson, PF,2013-2014
Houston Rockets,570515.0,Isaiah Canaan, PG,2013-2014
New York Knicks,556584.0,Jeremy Tyler, C,2013-2014
Los Angeles Lakers,547570.0,Kendall Marshall, PG,2013-2014
Dallas Mavericks,544000.0,Ricky Ledo, SG,2013-2014
Memphis Grizzlies,535000.0,Jamaal Franklin, SG,2013-2014
Sacramento Kings,524616.0,Ray McCallum, PG,2013-2014
Cleveland Cavaliers,510000.0,Carrick Felix, SG,2013-2014
Milwaukee Bucks,500000.0,Nate Wolters, PG,2013-2014
Detroit Pistons,500000.0,Tony Mitchell, PF,2013-2014
Houston Rockets,490180.0,Robert Covington, SF,2013-2014
Memphis Grizzlies,490180.0,Nick Calathes, SG,2013-2014
Washington Wizards,490180.0,Glen Rice Jr., SG,2013-2014
Philadelphia 76ers,490180.0,Brandon Davies, PF,2013-2014
Charlotte Bobcats,490180.0,James Southerland, SF,2013-2014
Los Angeles Lakers,490180.0,Ryan Kelly, PF,2013-2014
Phoenix Suns,490180.0,Dionte Christmas, SG,2013-2014
Chicago Bulls,490180.0,Erik Jay Murphy, PF,2013-2014
Philadelphia 76ers,473604.0,Hollis Thompson, SF,2013-2014
LA Clippers,473357.0,Hedo Turkoglu, SF,2013-2014
Phoenix Suns,410936.0,Leandro Barbosa, G,2013-2014
New Orleans Pelicans,387995.0,Luke Babbitt, F,2013-2014
Boston Celtics,320189.0,Chris Johnson, SG,2013-2014
Phoenix Suns,306037.0,Shavlik Randolph, PF,2013-2014
Philadelphia 76ers,300000.0,Dewayne Dedmon, C,2013-2014
Brooklyn Nets,275691.0,Jason Collins, C,2013-2014
LA Clippers,249683.0,Danny Granger, SF,2013-2014
Oklahoma City Thunder,244489.0,Caron Butler, SF,2013-2014
Sacramento Kings,239279.0,Jimmer Fredette, G,2013-2014
San Antonio Spurs,188438.0,Shannon Brown, PG,2013-2014
Philadelphia 76ers,171696.0,Jarvis Varnado, PF,2013-2014
Houston Rockets,158588.0,Troy Daniels, SG,2013-2014
Atlanta Hawks,138404.0,Mike Muscala, PF,2013-2014
Chicago Bulls,104034.0,Cartier Martin, PF,2013-2014
Charlotte Bobcats,104028.0,D.J. White, PF,2013-2014
Charlotte Bobcats,98036.0,Justin Hamilton, C,2013-2014
Boston Celtics,77852.0,Chris Babb, SG,2013-2014
Houston Rockets,69792.0,Ronnie Brewer, SF,2013-2014
