team,salary,player,position,season
Dallas Mavericks,1110120.0,Dominique Jones, SG,2010-2011
Charlotte Bobcats,1108680.0,D.J. White, PF,2010-2011
Utah Jazz,1087500.0,Kyrylo Fesenko, C,2010-2011
Memphis Grizzlies,1085400.0,DeMarre Carroll, SF,2010-2011
Minnesota Timberwolves,1078800.0,Wayne Ellington, SG,2010-2011
New Orleans Hornets,1073280.0,Quincy Pondexter, SF,2010-2011
Minnesota Timberwolves,1071720.0,Alando Tucker, SF,2010-2011
New York Knicks,1071000.0,Toney Douglas, PG,2010-2011
Washington Wizards,1042320.0,Jordan Crawford, G,2010-2011
Memphis Grizzlies,1035960.0,Greivis Vasquez, PG,2010-2011
New Jersey Nets,1033342.0,Quinton Ross, SF,2010-2011
Washington Wizards,1030189.0,James Singleton, F,2010-2011
Cleveland Cavaliers,1029389.0,Jawad Williams, SF,2010-2011
New Orleans Hornets,1028840.0,Aaron Gray, C,2010-2011
Washington Wizards,1028400.0,Daniel Orton, C,2010-2011
Cleveland Cavaliers,1020960.0,Christian Eyenga, SF,2010-2011
Minnesota Timberwolves,1020960.0,Lazar Hayward, SF,2010-2011
Milwaukee Bucks,1000000.0,Jon Brockman, PF,2010-2011
New Jersey Nets,992680.0,Stephen Graham, SF,2010-2011
Cleveland Cavaliers,992680.0,Joey Graham, SF,2010-2011
Portland Trail Blazers,937195.0,Patty Mills, PG,2010-2011
Sacramento Kings,930700.0,Donte Greene, SF,2010-2011
San Antonio Spurs,918000.0,DeJuan Blair, C,2010-2011
Memphis Grizzlies,886000.0,Sam Young, SF,2010-2011
Dallas Mavericks,885120.0,Ian Mahinmi, C,2010-2011
New Orleans Hornets,885120.0,Pops Mensah-Bonsu, PF,2010-2011
Miami Heat,885120.0,Alexander Johnson, SF,2010-2011
Indiana Pacers,885120.0,Josh McRoberts, PF,2010-2011
Atlanta Hawks,884881.0,Salim Stoudamire, SG,2010-2011
San Antonio Spurs,855189.0,Marcus Haislip, F,2010-2011
Sacramento Kings,855189.0,Quincy Douby, SG,2010-2011
New York Knicks,855189.0,Mouhamed Sene, C,2010-2011
Golden State Warriors,855189.0,Tarence Kinsey, SG,2010-2011
San Antonio Spurs,854389.0,Malik Hairston, SG,2010-2011
Utah Jazz,854389.0,Dwayne Jones II, PF,2010-2011
Memphis Grizzlies,854389.0,Darius Miles, SF,2010-2011
Washington Wizards,854389.0,Javaris Crittenton, PG,2010-2011
Miami Heat,854389.0,Mario Chalmers, G,2010-2011
Utah Jazz,854389.0,Kyle Weaver, SG,2010-2011
Sacramento Kings,854389.0,Antoine Wright, SF,2010-2011
Atlanta Hawks,854389.0,Etan Thomas, C,2010-2011
Golden State Warriors,825497.0,Mikki Moore, C,2010-2011
LA Clippers,825497.0,Kareem Rush, SG,2010-2011
Washington Wizards,825497.0,Paul Davis, C,2010-2011
Oklahoma City Thunder,825497.0,Kevin Ollie, PG,2010-2011
Oklahoma City Thunder,825497.0,Ryan Bowen, SF,2010-2011
Boston Celtics,825497.0,Gabe Pruitt, PG,2010-2011
San Antonio Spurs,804131.0,Chris Quinn, PG,2010-2011
Portland Trail Blazers,799105.0,Sean Marks, PF,2010-2011
Houston Rockets,780871.0,Chase Budinger, SF,2010-2011
Sacramento Kings,780871.0,Jermaine Taylor, SG,2010-2011
Charlotte Bobcats,762195.0,Derrick Brown, SF,2010-2011
Charlotte Bobcats,762195.0,Dante Cunningham, SF,2010-2011
New Orleans Pelicans,762195.0,Darryl Watkins, C,2010-2011
Utah Jazz,762195.0,Brian Butch, C,2010-2011
Memphis Grizzlies,762195.0,Tony Gaffney, SF,2010-2011
Portland Trail Blazers,762195.0,Greg Stiemsma, C,2010-2011
Philadelphia 76ers,762195.0,Jodie Meeks, SG,2010-2011
null Unknown,762195.0,Curtis Jerrells, NA,2010-2011
Milan Olimpia,762195.0,Oliver Lafayette, G,2010-2011
Indiana Pacers,750000.0,Lance Stephenson, SG,2010-2011
LA Clippers,736420.0,Mike Taylor, PG,2010-2011
Charlotte Hornets,736420.0,Dontell Jefferson, SG,2010-2011
New York Knicks,736420.0,Joe Crawford, SG,2010-2011
Madrid Real Madrid,736420.0,Othello Hunter, SF,2010-2011
Sacramento Kings,730437.0,Hassan Whiteside, C,2010-2011
Miami Heat,713666.0,Erick Dampier, C,2010-2011
San Antonio Spurs,708640.0,Ime Udoka, SG,2010-2011
Oklahoma City Thunder,679821.0,Mike Wilks, PG,2010-2011
Toronto Raptors,670000.0,Solomon Alabi, C,2010-2011
Milwaukee Bucks,668434.0,Brian Skinner, PF,2010-2011
