Rk,Player,Season,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
321,Anthony Morrow,11-12,SG,26,NJN,62,18,26.4,4.4,10.6,0.413,1.7,4.6,0.371,2.7,6.0,0.446,0.494,1.6,1.7,0.9329999999999999,0.5,1.5,2.0,1.0,0.7,0.1,1.1,1.4,12.0
322,Timofey Mozgov,11-12,C,25,DEN,44,35,15.6,2.3,4.3,0.526,0.0,0.0,,2.3,4.3,0.526,0.526,0.9,1.3,0.684,1.2,2.9,4.1,0.5,0.3,1.0,1.2,2.0,5.4
323,Byron Mullens,11-12,C,22,CHA,65,25,22.5,3.9,9.1,0.425,0.2,0.8,0.235,3.7,8.3,0.44299999999999995,0.435,1.4,1.7,0.821,1.5,3.6,5.0,0.9,0.3,0.8,1.1,2.1,9.3
324,Troy Murphy,11-12,PF,31,LAL,59,0,16.2,1.3,2.9,0.45,0.5,1.1,0.418,0.8,1.8,0.47100000000000003,0.532,0.1,0.2,0.667,0.7,2.6,3.2,0.9,0.3,0.3,0.4,1.7,3.2
325,Hamady N'Diaye,11-12,C,25,WAS,3,0,1.0,0.0,0.3,0.0,0.0,0.0,,0.0,0.3,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
326,Eduardo Nájera,11-12,PF,35,CHA,22,0,12.3,1.1,2.9,0.375,0.4,1.3,0.276,0.7,1.6,0.457,0.43799999999999994,0.1,0.2,0.5,0.5,1.8,2.3,0.5,0.9,0.2,0.3,1.8,2.6
327,Steve Nash*,11-12,PG,37,PHO,62,62,31.6,4.8,9.0,0.532,0.9,2.3,0.39,3.9,6.7,0.58,0.581,2.0,2.3,0.894,0.4,2.6,3.0,10.7,0.6,0.1,3.7,0.9,12.5
328,Gary Neal,11-12,SG,27,SAS,56,7,21.5,3.8,8.7,0.436,1.5,3.5,0.419,2.3,5.1,0.44799999999999995,0.522,0.9,1.1,0.7809999999999999,0.2,1.9,2.1,2.1,0.5,0.0,1.1,1.3,9.9
329,Jameer Nelson,11-12,PG,29,ORL,57,57,29.9,4.5,10.6,0.42700000000000005,1.5,4.1,0.377,3.0,6.6,0.45899999999999996,0.499,1.2,1.5,0.807,0.5,2.7,3.2,5.7,0.7,0.1,2.4,2.3,11.9
330,Joakim Noah,11-12,C,26,CHI,64,64,30.4,3.9,7.7,0.508,0.0,0.0,0.0,3.9,7.6,0.509,0.508,2.4,3.2,0.748,3.8,6.0,9.8,2.5,0.6,1.4,1.4,2.5,10.2
331,Andrés Nocioni,11-12,SF,32,PHI,11,1,5.1,0.5,1.8,0.25,0.1,0.5,0.16699999999999998,0.4,1.3,0.28600000000000003,0.275,0.5,1.0,0.545,0.1,1.2,1.3,0.1,0.1,0.1,0.5,0.4,1.5
332,Steve Novak,11-12,PF,28,NYK,54,0,18.9,3.0,6.2,0.478,2.5,5.2,0.47200000000000003,0.5,1.0,0.509,0.675,0.4,0.5,0.846,0.2,1.8,1.9,0.2,0.3,0.2,0.4,1.1,8.8
333,Dirk Nowitzki,11-12,PF,33,DAL,62,62,33.5,7.6,16.7,0.457,1.3,3.4,0.368,6.4,13.3,0.48100000000000004,0.495,5.1,5.7,0.8959999999999999,0.7,6.0,6.7,2.2,0.7,0.5,1.9,2.1,21.6
334,Jermaine O'Neal,11-12,C,33,BOS,25,24,22.8,2.1,4.8,0.433,0.0,0.0,,2.1,4.8,0.433,0.433,0.8,1.2,0.677,1.5,3.9,5.4,0.4,0.3,1.7,0.8,3.2,5.0
335,Lamar Odom,11-12,SF,32,DAL,50,4,20.5,2.5,7.0,0.35200000000000004,0.6,2.2,0.252,1.9,4.8,0.39899999999999997,0.39299999999999996,1.2,2.0,0.5920000000000001,0.7,3.4,4.2,1.7,0.4,0.4,1.0,1.9,6.6
336,Emeka Okafor,11-12,C,29,NOH,27,27,28.9,4.2,7.9,0.5329999999999999,0.0,0.0,,4.2,7.9,0.5329999999999999,0.5329999999999999,1.4,2.7,0.514,2.6,5.3,7.9,0.9,0.6,1.0,1.4,2.7,9.9
337,Mehmet Okur,11-12,C,32,NJN,17,14,26.7,3.1,8.2,0.374,1.4,4.2,0.319,1.7,3.9,0.433,0.457,0.2,0.3,0.6,1.3,3.5,4.8,1.8,0.5,0.3,1.5,2.6,7.6
338,Daniel Orton,11-12,PF,21,ORL,16,2,11.7,1.1,1.9,0.5670000000000001,0.0,0.1,0.0,1.1,1.8,0.586,0.5670000000000001,0.7,1.6,0.44,1.2,1.3,2.4,0.3,0.5,0.6,0.4,1.9,2.8
339,Travis Outlaw,11-12,SF,27,SAC,39,5,12.8,1.5,4.5,0.34299999999999997,0.4,1.5,0.267,1.1,2.9,0.38299999999999995,0.389,0.8,1.2,0.674,0.5,1.1,1.6,0.4,0.5,0.5,0.5,0.9,4.3
340,Larry Owens,11-12,SF,29,NJN,7,0,10.7,0.6,1.6,0.364,0.3,0.7,0.4,0.3,0.9,0.33299999999999996,0.455,0.4,0.6,0.75,0.3,1.6,1.9,0.6,0.0,0.1,0.3,1.4,1.9
341,Zaza Pachulia,11-12,C,27,ATL,58,44,28.3,2.9,5.8,0.499,0.0,0.0,,2.9,5.8,0.499,0.499,2.0,2.7,0.741,2.7,5.2,7.9,1.4,0.9,0.5,1.4,3.0,7.8
342,Jannero Pargo,11-12,PG,32,ATL,50,0,13.4,2.1,5.1,0.415,1.1,2.8,0.384,1.0,2.3,0.452,0.52,0.4,0.4,0.95,0.2,1.3,1.5,1.9,0.4,0.0,1.0,1.3,5.6
343,Jeremy Pargo,11-12,PG,25,MEM,44,5,9.6,1.1,3.4,0.33299999999999996,0.2,0.9,0.263,0.9,2.5,0.35700000000000004,0.36700000000000005,0.4,0.6,0.593,0.3,0.6,0.8,1.3,0.3,0.0,1.0,1.0,2.9
344,Anthony Parker,11-12,SF,36,CLE,51,51,25.1,2.8,6.4,0.433,1.0,2.7,0.36200000000000004,1.8,3.7,0.484,0.509,0.7,1.1,0.625,0.2,2.5,2.7,2.4,0.7,0.1,1.0,1.3,7.2
345,Tony Parker,11-12,PG,29,SAS,60,60,32.1,7.1,14.8,0.48,0.2,1.0,0.23,6.9,13.8,0.498,0.488,3.8,4.7,0.799,0.4,2.5,2.9,7.7,1.0,0.1,2.6,1.3,18.3
346,Chandler Parsons,11-12,SF,23,HOU,63,57,28.6,3.9,8.7,0.452,1.0,2.8,0.337,3.0,5.9,0.507,0.506,0.7,1.2,0.551,1.4,3.3,4.8,2.1,1.2,0.5,1.3,2.3,9.5
347,Patrick Patterson,11-12,PF,22,HOU,64,1,23.2,3.5,8.0,0.44,0.0,0.0,0.0,3.5,7.9,0.44299999999999995,0.44,0.6,0.9,0.7020000000000001,1.8,2.7,4.5,0.8,0.4,0.6,0.8,1.8,7.7
348,Chris Paul,11-12,PG,26,LAC,60,60,36.4,7.1,14.8,0.478,1.3,3.6,0.371,5.8,11.3,0.511,0.522,4.3,5.0,0.861,0.7,2.9,3.6,9.1,2.5,0.1,2.1,2.3,19.8
349,Sasha Pavlović,11-12,SF,28,BOS,45,7,11.7,1.1,2.8,0.391,0.4,1.3,0.293,0.7,1.6,0.47100000000000003,0.457,0.1,0.2,0.375,0.1,1.5,1.6,0.4,0.4,0.3,0.4,1.2,2.7
350,Nikola Peković,11-12,C,26,MIN,47,35,26.9,5.4,9.7,0.564,0.0,0.0,,5.4,9.7,0.564,0.564,3.0,4.0,0.743,3.9,3.5,7.4,0.7,0.6,0.7,1.9,2.1,13.9
351,Kendrick Perkins,11-12,C,27,OKC,65,65,26.8,2.0,4.0,0.489,0.0,0.0,,2.0,4.0,0.489,0.489,1.1,1.7,0.652,1.8,4.7,6.6,1.2,0.4,1.1,1.8,2.9,5.1
