team,salary,player,position,season
Memphis Grizzlies,1000000.0,Jeremy Pargo, PG,2011-2012
Milwaukee Bucks,1000000.0,Jon Brockman, PF,2011-2012
Denver Nuggets,992680.0,Shavlik Randolph, PF,2011-2012
Dallas Mavericks,915852.0,Ian Mahinmi, C,2011-2012
Chicago Bulls,915852.0,John Lucas III, PG,2011-2012
Dallas Mavericks,915852.0,Brandan Wright, F,2011-2012
New York Knicks,885120.0,Henry Walker, SF,2011-2012
Utah Jazz,885120.0,DeMarre Carroll, SF,2011-2012
Denver Nuggets,885120.0,Pops Mensah-Bonsu, PF,2011-2012
Atlanta Hawks,884881.0,Salim Stoudamire, SG,2011-2012
New Orleans Pelicans,884293.0,Patrick Ewing Jr., SF,2011-2012
Chicago Bulls,855189.0,Anthony Roberson, SG,2011-2012
New York Knicks,855189.0,Mouhamed Sene, C,2011-2012
Sacramento Kings,855189.0,Quincy Douby, SG,2011-2012
Golden State Warriors,855189.0,Tarence Kinsey, SG,2011-2012
Philadelphia 76ers,854389.0,Francisco Elson, C,2011-2012
New Orleans Hornets,854389.0,Trey Johnson, SG,2011-2012
Miami Heat,854389.0,Luke Jackson, SF,2011-2012
San Antonio Spurs,854389.0,Derrick Byars, SF,2011-2012
Memphis Grizzlies,854389.0,Kyle Weaver, SG,2011-2012
Atlanta Hawks,854389.0,Jannero Pargo, PG,2011-2012
Memphis Grizzlies,854389.0,Darius Miles, SF,2011-2012
Washington Wizards,854389.0,Javaris Crittenton, PG,2011-2012
Golden State Warriors,854389.0,Joe Alexander, SF,2011-2012
San Antonio Spurs,854389.0,Gary Neal, PG,2011-2012
Houston Rockets,850000.0,Chandler Parsons, SF,2011-2012
Toronto Raptors,830000.0,Solomon Alabi, C,2011-2012
Phoenix Suns,826828.0,Michael Redd, SG,2011-2012
Sacramento Kings,825497.0,Desmond Mason, SF,2011-2012
Washington Wizards,825497.0,Paul Davis, C,2011-2012
New Orleans Pelicans,825497.0,Jason Hart, PG,2011-2012
Golden State Warriors,825497.0,Jermareo Davidson, PF,2011-2012
Oklahoma City Thunder,825497.0,Kevin Ollie, PG,2011-2012
Oklahoma City Thunder,825497.0,Ryan Bowen, SF,2011-2012
Boston Celtics,825497.0,Gabe Pruitt, PG,2011-2012
Indiana Pacers,810000.0,Lance Stephenson, SG,2011-2012
Sacramento Kings,809875.0,Tyler Honeycutt, SF,2011-2012
Cleveland Cavaliers,804131.0,Chris Quinn, PG,2011-2012
Portland Trail Blazers,799105.0,Sean Marks, PF,2011-2012
San Antonio Spurs,792377.0,Ike Diogu, PF,2011-2012
